CT,TPAD,TPAN,TPAN2,TWAD,TWAN,TWAN2,TMAD,TMAN,TMAN2
429400,2308,571,448,1243,294,239,1065,277,209
429500,2205,664,531,1260,390,292,945,274,239
429600,1786,469,370,1001,257,208,785,212,162
429700,1319,374,296,702,200,163,617,174,133
430100,1087,225,175,598,110,85,489,115,90
430200,2713,649,518,1505,352,281,1208,297,237
431100,1519,323,272,853,173,146,666,150,126
431400,926,209,166,519,114,99,407,95,67
431500,1473,335,275,795,177,148,678,158,127
432300,1096,354,298,617,217,189,479,137,109
432400,1279,333,282,741,190,166,538,143,116
434000,1040,184,154,552,84,71,488,100,83
435000,1335,297,218,709,153,122,626,144,96
437000,3230,577,467,1657,255,209,1573,322,258
439000,699,128,98,366,53,43,333,75,55
445500,1990,379,311,1098,207,174,892,172,137
446000,937,143,115,489,73,59,448,70,56
447000,685,138,110,372,65,53,313,73,57
448000,601,170,133,344,109,84,257,61,49
449000,1278,364,310,656,186,155,622,178,155
450700,1490,382,325,811,203,176,679,179,149
450800,1253,361,326,697,209,168,556,152,158
451101,1827,412,328,990,213,171,837,199,157
451102,1926,451,348,1010,222,175,916,229,173
451104,1857,333,255,970,165,124,887,168,131
451105,1886,427,336,991,213,174,895,214,162
451300,3984,926,750,2090,449,372,1894,477,378
452000,2379,568,445,1307,300,224,1072,268,221
453003,1058,287,231,544,139,101,514,148,130
453004,2913,655,491,1574,335,252,1339,320,239
455000,804,261,193,416,128,98,388,133,95
456001,1154,194,163,614,91,80,540,103,83
456003,2403,484,378,1284,242,194,1119,242,184
456004,2352,580,443,1305,312,249,1047,268,194
457100,742,188,155,413,103,88,329,85,67
457200,1826,501,402,1002,282,224,824,219,178
458000,4640,1246,982,2484,623,508,2156,623,474
459101,1027,236,186,534,126,98,493,110,88
459102,3106,789,633,1636,361,298,1470,428,335
459201,3061,794,606,1635,421,325,1426,373,281
459202,329,77,64,193,43,40,136,34,24
460001,2647,777,619,1448,417,325,1199,360,294
460002,2238,590,450,1228,314,245,1010,276,205
461000,493,155,114,261,81,62,232,74,52
462100,1573,431,342,874,219,174,699,212,168
462600,2159,451,367,1183,247,188,976,204,179
463900,1545,342,289,879,194,166,666,148,123
464300,1694,447,335,934,245,176,760,202,159
464400,1855,365,329,996,195,163,859,170,166
465600,1302,355,300,729,196,158,573,159,142
465800,1755,381,300,946,194,158,809,187,142
468700,830,223,181,442,130,101,388,93,80
468800,1074,243,195,608,137,107,466,106,88
468900,1840,417,345,1013,226,183,827,191,162
469000,2565,697,537,1390,339,272,1175,358,265
470300,2066,643,547,1145,365,311,921,278,236
470400,1691,456,357,938,238,185,753,218,172
470501,1329,274,216,730,148,119,599,126,97
470502,1722,468,369,938,254,198,784,214,171
470600,1487,407,322,800,223,175,687,184,147
471000,581,159,105,302,81,54,279,78,51
472100,1232,246,187,672,121,88,560,125,99
472200,1051,197,168,545,96,87,506,101,81
472300,915,188,157,503,96,81,412,92,76
472400,1074,222,173,568,107,79,506,115,94
473100,2526,437,354,1353,236,191,1173,201,163
473200,1664,352,273,947,195,160,717,157,113
473300,3218,668,524,1770,366,301,1448,302,223
473401,1989,305,241,1038,159,123,951,146,118
473402,1820,383,289,964,191,152,856,192,137
473500,2007,293,236,1039,131,106,968,162,130
473601,2114,377,290,1134,195,153,980,182,137
473602,2492,651,512,1372,356,285,1120,295,227
474101,2357,397,309,1223,188,150,1134,209,159
474102,2110,377,280,1094,176,133,1016,201,147
474201,1476,272,200,764,128,96,712,144,104
474202,2862,674,511,1476,338,258,1386,336,253
474203,2701,498,392,1401,231,180,1300,267,212
475101,2646,818,636,1493,468,356,1153,350,280
475102,986,237,182,496,101,86,490,136,96
475200,2891,728,557,1523,357,276,1368,371,281
475301,2575,749,587,1397,392,313,1178,357,274
475303,2504,656,489,1331,334,256,1173,322,233
475304,3066,695,511,1621,332,246,1445,363,265
475401,2251,653,483,1213,334,249,1038,319,234
475402,1819,406,293,974,208,147,845,198,146
476100,2502,611,487,1387,345,281,1115,266,206
476200,1843,527,399,1009,277,213,834,250,186
477100,2108,613,455,1143,328,246,965,285,209
477200,2540,837,661,1392,478,382,1148,359,279
477300,3365,698,521,1750,336,264,1615,362,257
478100,2280,493,372,1209,264,200,1071,229,172
478200,3203,699,535,1707,349,276,1496,350,259
479000,1146,310,242,627,168,135,519,142,107
480101,2885,651,529,1514,362,297,1371,289,232
480102,1817,527,409,996,303,236,821,224,173
480200,2057,555,428,1065,290,230,992,265,198
480300,2034,567,425,1085,281,213,949,286,212
480400,2898,897,663,1588,479,351,1310,418,312
481000,1986,393,327,1121,225,187,865,168,140
482500,1135,395,314,625,211,165,510,184,149
483800,1680,462,419,992,300,254,688,162,165
484300,1917,470,363,1040,245,182,877,225,181
484500,3422,1048,821,1866,571,456,1556,477,365
484600,1224,325,259,708,206,168,516,119,91
485000,693,185,138,391,106,81,302,79,57
486700,1213,277,233,737,179,149,476,98,84
486800,1048,246,201,575,136,110,473,110,91
486900,830,197,140,481,115,76,349,82,64
487000,996,340,263,543,196,140,453,144,123
488100,1277,401,306,680,208,153,597,193,153
488200,2085,548,415,1193,302,227,892,246,188
488300,1238,434,329,669,223,177,569,211,152
488400,2543,763,580,1464,436,318,1079,327,262
488500,1568,458,333,845,233,170,723,225,163
488600,2811,856,665,1587,456,355,1224,400,310
489001,2663,798,611,1477,428,341,1186,370,270
489002,2249,566,418,1181,292,213,1068,274,205
490002,2681,734,542,1455,373,287,1226,361,255
490003,2125,541,381,1089,272,197,1036,269,184
490004,3048,732,555,1624,346,263,1424,386,292
491101,4162,892,656,2188,418,321,1974,474,335
491200,1138,343,271,623,196,152,515,147,119
492700,1031,279,224,583,159,121,448,120,103
492800,1496,446,383,874,293,252,622,153,131
492900,1212,288,228,704,164,128,508,124,100
494000,803,191,149,459,101,79,344,90,70
495000,1095,328,245,583,162,128,512,166,117
496101,1868,562,434,1000,282,227,868,280,207
496102,2666,863,642,1417,419,315,1249,444,327
496200,3323,942,715,1792,476,366,1531,466,349
497000,542,157,113,294,86,63,248,71,50
498000,1481,487,371,802,258,204,679,229,167
499300,889,258,189,501,131,97,388,127,92
499400,1527,408,330,872,231,185,655,177,145
500300,2069,579,454,1188,327,267,881,252,187
50100,1089,308,268,655,208,164,434,100,104
501000,814,260,219,447,158,128,367,102,91
503002,3421,1201,963,1923,660,546,1498,541,417
504100,2714,781,628,1557,448,339,1157,333,289
50600,970,313,245,564,199,148,406,114,97
507000,1151,328,261,640,182,154,511,146,107
508000,1083,215,166,604,125,95,479,90,71
50900,868,192,185,550,126,105,318,66,80
509400,2862,768,624,1648,463,371,1214,305,253
51000,705,153,143,434,96,85,271,57,58
510000,1139,219,183,656,141,104,483,78,79
51100,169,20,16,112,17,6,57,3,10
